,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
167,Hyundai EON Era,2012,235000,54000,Petrol,Dealer,Manual,First Owner
168,Volkswagen Ameo 1.5,2017,640000,56000,Diesel,Dealer,Manual,First Owner
169,Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner
170,Maruti Omni LPG,2009,80000,90000,LPG,Individual,Manual,Second Owner
171,Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner
172,Hyundai Verna i,2008,120000,90000,Petrol,Individual,Manual,Second Owner
173,Chevrolet Optra Magnum,2012,180000,120000,Diesel,Individual,Manual,First Owner
174,Hyundai i20 Active,2017,700000,10000,Petrol,Individual,Manual,First Owner
175,Maruti SX4 Celebration,2012,285000,80000,Diesel,Individual,Manual,Second Owner
176,Hyundai Grand i10,2015,390000,90000,Petrol,Individual,Manual,First Owner
177,Maruti Alto LXi,2008,125000,80000,Petrol,Individual,Manual,First Owner
178,Maruti SX4 Zxi,2008,225000,60000,Petrol,Individual,Manual,Second Owner
179,Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,Second Owner
180,Honda Mobilio V,2014,300000,150000,Diesel,Individual,Manual,First Owner
181,Toyota Innova 2.5,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
182,Tata Indica V2,2009,90000,120000,Diesel,Dealer,Manual,First Owner
183,Tata Indica Vista,2011,120000,120000,Diesel,Individual,Manual,Second Owner
184,Chevrolet Beat Diesel,2012,220000,100000,Diesel,Individual,Manual,Second Owner
185,Tata Zest Quadrajet,2015,300000,140000,Diesel,Dealer,Manual,First Owner
186,Skoda Fabia 1.2L,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
187,Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner
188,Ford Figo Petrol,2015,300000,50000,Petrol,Individual,Manual,Second Owner
189,Hyundai Grand i10,2018,465000,25000,Diesel,Individual,Manual,First Owner
190,Chevrolet Beat Diesel,2011,130000,80000,Diesel,Individual,Manual,Second Owner
191,Datsun GO Plus,2018,434999,10000,Petrol,Individual,Manual,First Owner
192,Hyundai Grand i10,2018,500000,32000,Petrol,Individual,Manual,First Owner
193,Maruti Omni MPI,2018,200000,10000,Petrol,Individual,Manual,First Owner
194,Maruti Baleno Alpha,2017,625000,52000,Petrol,Dealer,Manual,First Owner
195,Ford Fiesta Classic,2006,110000,120000,Diesel,Individual,Manual,Third Owner
196,Hyundai Elite i20,2019,800000,11240,Petrol,Individual,Manual,First Owner
197,Hyundai Grand i10,2017,490000,66000,Diesel,Dealer,Manual,First Owner
198,Maruti Ertiga SHVS,2017,880000,64000,Diesel,Dealer,Manual,First Owner
199,Hyundai Santro Xing,2013,290000,49000,Petrol,Individual,Manual,First Owner
200,Tata Sumo GX,2006,115999,100000,Diesel,Individual,Manual,Second Owner
201,Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner
202,Maruti Vitara Brezza,2017,685000,72000,Diesel,Dealer,Manual,First Owner
203,Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,First Owner
204,Hyundai i20 1.4,2017,680000,44000,Diesel,Dealer,Manual,First Owner
205,Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,First Owner
206,Maruti Swift ZDi,2017,450000,70000,Diesel,Individual,Manual,First Owner
207,Maruti Ertiga VXI,2014,600000,20000,Petrol,Individual,Manual,First Owner
208,Hyundai i20 1.4,2009,180000,60000,Diesel,Individual,Manual,Second Owner
209,Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,Second Owner
210,Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,Third Owner
211,Maruti Wagon R,2011,160000,155000,Petrol,Individual,Manual,First Owner
212,Mahindra Bolero Power,2019,860000,35000,Diesel,Individual,Manual,First Owner
213,Hyundai i20 1.2,2018,650000,20000,Petrol,Individual,Manual,Second Owner
214,Maruti Wagon R,2010,100000,80000,Petrol,Individual,Manual,Second Owner
215,Maruti Alto 800,2017,282000,20000,Petrol,Individual,Manual,First Owner
216,Hyundai i20 Asta,2009,300000,50000,Petrol,Individual,Manual,First Owner
217,Hyundai i20 Asta,2010,270000,110000,Petrol,Individual,Manual,Second Owner
218,Hyundai Verna 1.6,2013,550000,29000,Diesel,Individual,Manual,First Owner
219,Mahindra Xylo D2,2013,450000,120000,Diesel,Individual,Manual,First Owner
220,Mahindra Bolero SLX,2011,430000,70000,Diesel,Individual,Manual,Second Owner
221,Maruti Ertiga VXI,2013,350000,40000,Petrol,Individual,Manual,First Owner
222,Honda Brio 1.2,2017,350000,20000,Petrol,Individual,Manual,First Owner
223,Toyota Etios Liva,2013,229999,50000,Petrol,Individual,Manual,Second Owner
224,Maruti Alto 800,2013,110000,50000,Petrol,Individual,Manual,First Owner
225,Maruti Swift Dzire,2012,395000,49000,Petrol,Individual,Manual,Second Owner
226,Mahindra Scorpio VLS,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
227,Mahindra Bolero SLX,2011,350000,90000,Diesel,Individual,Manual,Second Owner
228,Tata Tiago 1.2,2018,360000,4000,Petrol,Individual,Manual,First Owner
229,Renault Duster 110PS,2015,800000,15000,Diesel,Individual,Manual,First Owner
230,Hyundai EON Magna,2018,229999,30000,Petrol,Individual,Manual,First Owner
231,Maruti Wagon R,2014,315000,41000,Petrol,Dealer,Manual,First Owner
232,Chevrolet Spark 1.0,2012,125000,28000,Petrol,Individual,Manual,First Owner
233,Maruti Baleno Alpha,2019,700000,16000,Petrol,Individual,Manual,First Owner
234,Hyundai EON 1.0,2015,160000,70000,Petrol,Individual,Manual,First Owner
235,Ford Figo Aspire,2017,530000,10832,Petrol,Dealer,Manual,First Owner
236,Ford Figo Aspire,2018,624000,14681,Diesel,Dealer,Manual,First Owner
237,Hyundai i10 Era,2009,250000,50000,Petrol,Individual,Manual,First Owner
238,Mahindra Bolero SLX,2016,585000,51000,Diesel,Dealer,Manual,First Owner
239,Hyundai Verna 1.4,2015,500000,25000,Petrol,Individual,Manual,First Owner
240,Chevrolet Sail 1.2,2014,350000,30000,Petrol,Individual,Manual,First Owner
241,Honda City i-DTEC,2014,495000,80000,Diesel,Dealer,Manual,First Owner
242,Hyundai Grand i10,2017,500000,50000,Petrol,Individual,Manual,First Owner
243,Hyundai Grand i10,2013,345000,44000,Petrol,Dealer,Manual,First Owner
244,Maruti Baleno Sigma,2015,500000,10000,Petrol,Individual,Manual,First Owner
245,Tata Tiago 1.2,2019,425000,19600,Petrol,Individual,Manual,First Owner
246,Maruti Wagon R,2005,80000,40000,Petrol,Individual,Manual,Second Owner
247,Chevrolet Beat Diesel,2011,106000,50000,Diesel,Individual,Manual,First Owner
248,Maruti A-Star Vxi,2009,180000,46730,Petrol,Individual,Manual,First Owner
249,Datsun GO A,2015,250000,40000,Petrol,Individual,Manual,Second Owner
250,Skoda Yeti Ambition,2011,350000,80000,Diesel,Individual,Manual,First Owner
251,Hyundai Verna CRDi,2018,900000,24000,Diesel,Individual,Manual,First Owner
252,Ford Aspire Titanium,2017,700000,21170,Diesel,Dealer,Manual,First Owner
253,Chevrolet Tavera Neo,2007,160000,120000,Diesel,Individual,Manual,Third Owner
254,Mitsubishi Outlander 2.4,2012,525000,140000,Petrol,Individual,Automatic,First Owner
255,Maruti Baleno Alpha,2019,800000,30000,Diesel,Individual,Manual,First Owner
256,Ford Figo Aspire,2017,700000,88635,Diesel,Dealer,Manual,First Owner
257,Maruti Swift Dzire,2018,800000,25000,Diesel,Individual,Manual,First Owner
258,Hyundai i20 1.2,2017,575000,20000,Petrol,Individual,Manual,Second Owner
259,Renault Duster 110PS,2012,350000,110000,Diesel,Individual,Manual,Second Owner
260,Maruti Swift Vdi,2008,250000,120000,Diesel,Individual,Manual,Third Owner
261,Ford Endeavour Titanium,2011,600000,149674,Diesel,Dealer,Manual,Second Owner
262,Mahindra Scorpio 2.6,2007,370000,100000,Diesel,Individual,Manual,Third Owner
263,Maruti Baleno Vxi,2006,80000,120000,Petrol,Individual,Manual,Third Owner
264,Hyundai Verna CRDi,2018,900000,25000,Diesel,Individual,Manual,First Owner
265,Maruti Wagon R,2014,300000,35000,Petrol,Individual,Manual,Second Owner
266,Maruti Swift Dzire,2015,490000,60000,Diesel,Individual,Manual,Second Owner
267,Toyota Etios Liva,2012,300000,50000,Diesel,Individual,Manual,Second Owner
268,Tata Nano STD,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
269,Hyundai Grand i10,2016,350000,25000,Petrol,Individual,Manual,First Owner
270,Hyundai Grand i10,2019,755000,8000,Diesel,Individual,Manual,First Owner
271,Maruti Ertiga SHVS,2017,720000,60000,Diesel,Individual,Manual,First Owner
272,Volkswagen Polo Petrol,2013,400000,100000,Petrol,Individual,Manual,First Owner
273,Hyundai Xcent 1.1,2015,350000,70000,Diesel,Individual,Manual,Second Owner
274,Chevrolet Beat Diesel,2012,159000,68000,Diesel,Dealer,Manual,First Owner
275,Maruti Swift ZXi,2017,550000,38000,Petrol,Dealer,Manual,First Owner
276,Maruti Ritz VDi,2013,335000,80000,Diesel,Dealer,Manual,First Owner
277,Tata Indigo CS,2014,185000,72000,CNG,Dealer,Manual,First Owner
278,Maruti Eeco 5,2012,229999,75000,CNG,Dealer,Manual,First Owner
279,Maruti Estilo LXI,2014,225000,43000,Petrol,Dealer,Manual,First Owner
280,Maruti Swift VXI,2007,250000,120000,Petrol,Individual,Manual,Second Owner
281,Tata Zest Quadrajet,2015,400000,100000,Diesel,Individual,Manual,First Owner
282,Maruti Swift VDI,2014,470000,163000,Diesel,Individual,Manual,First Owner
283,Maruti Alto K10,2018,300000,25000,Petrol,Individual,Automatic,First Owner
284,Maruti Alto LX,2011,145000,25000,Petrol,Individual,Manual,First Owner
285,Maruti SX4 Vxi,2007,100000,90000,Petrol,Individual,Manual,Second Owner
286,Mahindra Scorpio SLE,2014,500000,70000,Diesel,Individual,Manual,Second Owner
287,Hyundai Santro Xing,2010,130000,98000,CNG,Individual,Manual,Second Owner
288,Chevrolet Cruze LTZ,2010,240000,81925,Diesel,Individual,Manual,First Owner
289,Ford Figo Diesel,2013,150000,80000,Diesel,Individual,Manual,Second Owner
290,Renault KWID RXT,2017,270000,40000,Petrol,Individual,Manual,First Owner
291,Maruti Swift Dzire,2014,400000,90000,Diesel,Individual,Manual,First Owner
292,Hyundai EON Era,2012,200000,46000,Petrol,Individual,Manual,First Owner
293,Mahindra XUV500 W6,2012,550000,80000,Diesel,Individual,Manual,First Owner
294,Renault KWID 1.0,2018,325000,35000,Petrol,Individual,Manual,First Owner
295,Skoda Rapid 1.5,2017,860000,82080,Diesel,Individual,Automatic,First Owner
296,Chevrolet Spark 1.0,2009,125000,70000,Petrol,Individual,Manual,First Owner
297,Chevrolet Tavera Neo,2010,300000,120000,Diesel,Individual,Manual,Third Owner
298,Ford Fiesta 1.6,2007,190000,60000,Petrol,Individual,Manual,Third Owner
299,Maruti Ertiga VDI,2013,400000,110000,Diesel,Individual,Manual,First Owner
300,Tata Manza Aura,2011,260000,97000,Diesel,Individual,Manual,Second Owner
301,Maruti Swift VVT,2017,400000,30000,Petrol,Individual,Manual,First Owner
302,Hyundai i20 Sportz,2010,250000,40000,Petrol,Individual,Manual,First Owner
303,Hyundai Grand i10,2019,600000,10000,Petrol,Individual,Manual,First Owner
304,Maruti Zen Estilo,2010,175000,52047,Petrol,Individual,Manual,First Owner
305,Tata Tiago 1.2,2019,350000,15000,Petrol,Individual,Automatic,Second Owner
306,Maruti Vitara Brezza,2018,800000,50000,Diesel,Individual,Manual,First Owner
307,Maruti Swift VXI,2011,250000,70000,Petrol,Individual,Manual,Second Owner
308,Maruti Swift VXI,2019,600000,10000,Petrol,Individual,Manual,First Owner
309,Maruti Swift VDI,2017,600000,90000,Diesel,Individual,Manual,First Owner
310,Maruti Alto 800,2016,130000,40000,Petrol,Individual,Manual,First Owner
311,Maruti Wagon R,2006,90000,62009,Petrol,Individual,Manual,Second Owner
312,Hyundai i20 Active,2017,595000,33100,Petrol,Individual,Manual,Second Owner
313,Hyundai EON Era,2014,190000,40000,Petrol,Individual,Manual,Second Owner
314,Maruti Wagon R,2007,95000,80000,Petrol,Individual,Manual,First Owner
315,Mahindra Bolero SLX,2010,400000,50000,Diesel,Individual,Manual,First Owner
316,Datsun GO Plus,2015,315000,45000,Petrol,Individual,Manual,Second Owner
317,Ford Ecosport 1.5,2014,500000,49000,Diesel,Individual,Manual,First Owner
318,Mahindra Supro VX,2017,500000,160000,Diesel,Individual,Manual,First Owner
319,Maruti 800 AC,2007,105000,60000,Petrol,Individual,Manual,Second Owner
320,Ford Endeavour 2.5L,2008,400000,110000,Diesel,Individual,Manual,Third Owner
321,Maruti Alto 800,2016,300000,30000,Petrol,Individual,Manual,First Owner
322,Mahindra KUV 100,2017,409999,40000,Diesel,Individual,Manual,First Owner
323,Maruti Swift Glam,2009,250000,70000,Petrol,Individual,Manual,First Owner
324,Tata New Safari,2010,250000,120000,Diesel,Individual,Manual,Second Owner
325,Maruti Swift Dzire,2012,215000,80000,Diesel,Individual,Manual,Third Owner
326,Honda Brio 1.2,2018,475000,20000,Petrol,Individual,Manual,First Owner
327,Honda Brio 1.2,2018,475000,22000,Petrol,Individual,Manual,First Owner
328,Chevrolet Spark 1.0,2008,75000,35000,Petrol,Individual,Manual,Second Owner
329,Chevrolet Sail Hatchback,2013,200000,120000,Diesel,Individual,Manual,Second Owner
330,Tata Tiago NRG,2019,575000,8000,Petrol,Individual,Manual,First Owner
331,Maruti Ritz VDi,2011,150000,40000,Diesel,Individual,Manual,Second Owner
332,Maruti Vitara Brezza,2018,850000,10000,Diesel,Individual,Manual,First Owner
333,Hyundai Santro Era,2019,350000,30000,Petrol,Individual,Manual,First Owner
334,Ford Endeavour 2.5L,2011,550000,54000,Diesel,Individual,Manual,Second Owner
335,Hyundai Verna 1.4,2017,330000,80577,Petrol,Individual,Manual,First Owner
